CompanyName,CompanyType,Programme,RefDate,Sector
ARAMIJAYA SDN BHD,,STAR,27/10/2015,
ARAS ENTERTAINMENT SDN BHD,MNC,STAR,4/6/2021,
ARBA BUSINESS CONSULTANCY SDN BHD,Others,STAR,10/10/2016,
ARBA TRAVEL & TOURS SDN BHD,,STAR,24/3/2015,
ARCH TRADING & DISTRIBUTION (M) SDN BHD,,STAR,18/3/2015,
ARCHITECTS 61 SDN BHD,,STAR,19/10/2016,
ARCHTURE SDN BHD,,STAR,13/10/2016,
ARH JURUKUR BAHAN SDN BHD,,STAR,11/9/2014,
ARI-ARMATUREN SDN BHD,Others,STAR,6/10/2017,
ARKEMA COATING RESINS MALAYSIA SDN BHD,MNC,STAR,16/5/2017,
ARKEMA THIOCHEMICALS SDN BHD,,STAR,21/11/2016,
ARKITEK HASNUDDIN RAZALI,Others,STAR,2/10/2017,
ARKITEK KDI SDN BHD,,STAR,3/7/2015,
ARKITEK LH WONG,,STAR,18/3/2015,
ARKITEK MAA SDN BHD,,STAR,18/3/2015,
ARKITEK OMA SDN BHD,,STAR,31/10/2016,
ARKITEK REKAKONSULT SDN BHD,Others,STAR,7/5/2015,
ARMADA EMERALD SDN BHD,SME,STAR,28/9/2017,Agriculture
ARMADA TPCE SDN BHD,,STAR,22/12/2014,
ARMSTRONG AUTO PARTS SDN BHD,,STAR,16/12/2014,
ARON-N ENGINEERING & SERVICES SDN BHD,Others,STAR,19/9/2014,
ARROW SYSTEMS SDN BHD,Others,STAR,23/7/2021,
ARROWTRONICS SDN BHD,,STAR,6/11/2015,
AS2 CONSULT SDN BHD,,STAR,19/11/2015,
ASA OVERSEAS EDUCATION SPECIALIST (M) SDN BHD,SME,STAR,16/11/2017,
ASB MANAGEMENT SDN BHD,Others,STAR,24/7/2018,
ASCOM NETWROK TESTING SDN BHD,MNC,STAR,6/3/2012,
ASE ELECTRONICS (M) SDN BHD,,STAR,18/3/2015,
ASEAN YOUNG PROFESSIONALS NETWORK,MNC,STAR,12/10/2016,
ASIA AQUACULTURE (M) SDN BHD,,STAR,18/8/2016,
ASIA BOLTS & NUTS SDN BHD,MNC,STAR,19/7/2020,
ASIA LAB(MALAYSIA) SDN BHD,Others,STAR,10/9/2012,"Oil, Gas & Energy (OGE)"
ASIA PACIFIC APJMEP SDN BHD,Others,STAR,17/9/2020,
ASM ASSEMBLY EQUIPMENT (M) SDN BHD,MNC,STAR,4/8/2017,
ASM TECHNOLOGY (M) SDN BHD,MNC,STAR,6/11/2012,E&E
ASMAN KADIR ENGINEERING & FABRICATION SDN BHD,SME,STAR,9/8/2017,"Oil, Gas & Energy (OGE)"
ASNAF BIZ SOLUTIONS SDN BHD,SME,STAR,20/2/2019,
ASP MEDICAL CLINIC SDN BHD,,STAR,21/8/2014,
ASPEN GLOVE SDN BHD,Others,STAR,4/11/2020,
ASPIRO SDN BHD,MNC,STAR,2/7/2018,
ASSEMBLY SERVICES SDN BHD,GLC,STAR,5/3/2013,
ASSOCIATION OF ISLAMIC BANKING INSTITUTIONS MALAYSIA (AIBIM),Others,STAR,1/3/2018,Financial Services
ASSUNTA HOSPITAL,,STAR,6/2/2015,
ASTRAZENECA SDN BHDÂ,,STAR,23/12/2015,
ASUSTEK COMPUTER MALAYSIA SDN BHD,,STAR,6/12/2016,
ASOLUTE SDN BHD,SME,STAR,17/8/2017,
AT&S AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK (MALAYSIA) SDN BHD,MNC,STAR,7/4/2022,E&E
ATAREK KAMIL IBRAHIM & CO,SME,STAR,20/2/2019,
ATAREK KAMIL IBRAHIM TAX SERVICES (M) SDN BHD,SME,STAR,19/2/2019,
ATCEN SDN BHD,MNC,STAR,30/4/2012,
ATELIER ALAN TEH ARCHITECT,SME,STAR,14/11/2020,
ATT TANJUNG BIN SDN BHD,MNC,STAR,4/6/2018,"Oil, Gas & Energy (OGE)"
AUASIA AGROTECH SDN BHD,SME,STAR,20/8/2019,Agriculture
AUASIA NUTRICULTURE SDN BHD,SME,STAR,6/1/2020,Agriculture
AUGMENTED TECHNOLOGY SDN BHD,SME,STAR,28/8/2019,
AUO SUNPOWER SDN BHD,MNC,STAR,23/12/2015,
AURA WHITE GLOBAL SDN BHD,,STAR,1/12/2014,
AUTHENTIC VENTURE SDN BHD,,STAR,18/3/2015,
AV MANUFACTURING SDN BHD,Others,STAR,20/8/2014,Healthcare
AVELON HEALTHCARE SDN BHD,,STAR,2/6/2016,
AVENANT GROUP SDN BHD,Others,STAR,28/11/2018,
AVIALITE SDN BHD,Others,STAR,17/5/2016,E&E
AWORLDTEC ENGINEERING SDN BHD,SME,STAR,7/7/2020,"Oil, Gas & Energy (OGE)"
AXA AFFIN LIFE INSURANCE BHD,Others,STAR,14/3/2013,Financial Services
AXA AFFIN GENERAL INSURANCE BHD,,STAR,26/8/2014,Financial Services
AXA NAGA SDN BHD,,STAR,25/4/2016,
AXCELASIA COLUMBUS SDN BHD,,STAR,27/1/2016,
AXIANERGY (M) SDN BHD,,STAR,15/4/2016,
AXISBIO DIAGNOSTICS SDN BHD,Others,STAR,2/7/2014,Healthcare
AYAM PENYET API SDN BHD,,STAR,23/11/2015,
AYAMAS FOOD CORPORATION SDN BHDÂ,,STAR,29/12/2015,
