CompanyName,CompanyType,Programme,RefDate,Sector
SARAWAK SHELL BHD,,REP,23/1/2014,"Oil, Gas & Energy (OGE)"
TETRA PAK (MALAYSIA) SDN BHD,,REP,11/2/2014,GBS
FARMASI VOON SDN BHD,,REP,24/10/2011,Healthcare
DELL ASIA PACIFIC SDN BHD,,REP,19/1/2012,GBS
PERNIAGAAN ELECTRIK SINAR RIA SDN BHD,,REP,6/2/2014,
PHD MEDIA (M) SDN BHD,,REP,3/7/2014,Communications Content and Infrastructure (CCI)
MMC-GAMUDA KVMRT (PDP) SDN BHD,,REP,10/7/2014,Construction / Property
SCHLUMBERGER,,REP,3/4/2014,"Oil, Gas & Energy (OGE)"
TAI SENG REALTY MANAGEMENT,,REP,20/1/2015,Transportation
YUHOE DESIGN,,REP,20/2/2014,GBS
KPMG,,REP,18/3/2015,Financial Services
KAIFA TECHNOLOGY MALAYSIA SDN BHD,,REP,17/6/2014,
MAHKOTA MEDICAL CENTRE SDN BHD,,REP,17/4/2014,Healthcare
AIG GLOBAL SERVICES (M) SDN BHD,,REP,18/8/2014,GBS
JABIL CIRCUIT SDN BHD,,REP,5/5/2014,
LOW YAT MANAGEMENT SERVICES SDN BHD,,REP,7/7/2015,
EMERIO (MALAYSIA) SDN BHD,,REP,20/5/2014,Financial Services
SOLID PRECISION ENGINEERING SDN BHD,,REP,10/3/2014,GBS
3LMEDIA ADS SDN BHD,,REP,30/9/2014,
MTOUCHE TECHNOLOGY BHD,,REP,5/2/2014,Communications Content and Infrastructure (CCI)
ESOS ASIA SDN BHD,,REP,4/3/2014,"Oil, Gas & Energy (OGE)"
ERNST AND YOUNG,,REP,14/5/2014,Financial Services
JOHNSON CONTROLS AUTOMOTIVE HOLDING (M) SDN BHD,,REP,23/1/2014,GBS
CARIGALI HESS OPERATING CO SDN BHD,,REP,2/4/2014,"Oil, Gas & Energy (OGE)"
EASTSPRING INVESTMENTS BHD,,REP,21/5/2014,Transportation
HEX CONSULTANTS,,REP,3/3/2014,GBS
ADRIAN LEE ENTERPRISE,,REP,17/3/2014,Financial Services
PETRONAS FLOATING LNG 1,,REP,29/1/2014,"Oil, Gas & Energy (OGE)"
SCHLUMBERGER OILFIELD SUPPORT SDN BHD,,REP,7/1/2014,"Oil, Gas & Energy (OGE)"
EMERIO (MALAYSIA) SDN BHD,,REP,16/4/2014,Communications Content and Infrastructure (CCI)
MSC CYBERPORT SDN BHD,,REP,17/4/2014,Communications Content and Infrastructure (CCI)
WOOD GROUP KENNY SDN BHD,,REP,12/5/2015,"Oil, Gas & Energy (OGE)"
PRUDENTIAL ASSURANCE MALAYSIA BHD,,REP,7/3/2014,Financial Services
STANDARD CHARTERED BANK MALAYSIA (BHD),,REP,2/12/2014,Financial Services
PETRONAS,,REP,29/1/2014,GBS
PETRONAS CHEMICALS GROUP BHD,,REP,23/12/2015,"Oil, Gas & Energy (OGE)"
HALLMARK CONNECTION SDN BHD,,REP,21/3/2014,Construction / Property
TAYLOR'S UNIVERSITY SDN BHD,,REP,11/11/2014,Education
UTAR,,REP,14/2/2014,Education
SUNWAY RESORT HOTEL SDN BHD,,REP,20/3/2014,Tourism
JPMORGAN SECURITIES (MALAYSIA) SDN BHD,,REP,5/3/2014,Financial Services
HCK CAPITAL GROUP BHD,,REP,17/12/2015,
FOSTER WHEELER E&C (MALAYSIA) SDN BHD,,REP,22/12/2014,"Oil, Gas & Energy (OGE)"
PANASONIC AUTOMOTIVE SYSTEM MALAYSIA SDN BHD,,REP,3/7/2014,
HK OFFSHORE & MANAGEMENT CONSULTANCY SDN BHD,,REP,18/7/2014,
LIVINGSOCIAL,,REP,28/3/2014,Communications Content and Infrastructure (CCI)
MARQUEE SEMICONDUCTOR,,IP,6/8/2024,E&E
TRINITY WIZARDS SDN BHD,,mynext,7/8/2024,
RPG GREEN TECHNOLOGY SDN BHD,,mynext,7/8/2024,
FRONTDESK SDN BHD,,mynext,7/8/2024,
ASIAN STRATEGY & LEADERSHIP INCORPORATED SDN BHD,,mynext,7/8/2024,
ACE WEALTH PLANNING SDN BHD,,mynext,7/8/2024,
MMC GAMUDA KVMRT (PDP) SDN BHD,,RP-T,9/9/2016,
FREELANCE MANAGEMENT CONSULTANT,,RP-T,15/9/2016,Communications Content and Infrastructure (CCI)
EMERIO (MALAYSIA) SDN BHD,,RP-T,21/4/2015,Communications Content and Infrastructure (CCI)
"UNIVERSITI MALAYSIA SABAH, UMS",,RP-T,13/1/2017,Education
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
SINERGI PERDANA SDN BHD,,IP,6/8/2024,"Oil, Gas & Energy (OGE)"
TORAY PLASTICS (MALAYSIA) SDN BHD,,IP,6/8/2024,"Oil, Gas & Energy (OGE)"
OPTIMISTIC ORGANIC SDN BHD,,IP,6/8/2024,Manufacturing
M CORPORATE OUTSOURCING SDN BHD,,mynext,8/8/2024,
KFF TAX SERVICES SDN BHD,,mynext,8/8/2024,
J. S. SOO & CO PLT,,mynext,8/8/2024,
RHL VENTURES SDN BHD,,mynext,8/8/2024,
HILTI ASIA IT SERVICES SDN BHD,,mynext,8/8/2024,
TESTING,,mynext,8/8/2024,
MNF SERVICE SDN BHD,,mynext,8/8/2024,
ROTIBOY BAKESHOPPE SDN BHD,,mynext,8/8/2024,
UNIVERSITI PERTAHANAN NASIONAL MALAYSIA,,RP-T,19/1/2017,Education
MAXIS BROADBAND SDN BHD,,RP-T,9/12/2015,Communications Content and Infrastructure (CCI)
FPT SOFTWARE MALAYSIA SDN BHD,,RP-T,24/11/2016,Communications Content and Infrastructure (CCI)
K-FRONTIERS SDN BHD,,RP-T,5/9/2016,"Oil, Gas & Energy (OGE)"
HEMPEL (MALAYSIA) SDN BHD,,RP-T,22/3/2016,"Oil, Gas & Energy (OGE)"
PMCC-INTERNATIONAL SDN BHD,,RP-T,21/3/2016,
AGENSI PEKERJAAN HUNTERS SEARCH SDN BHD,,mynext,9/8/2024,
MARCUS EVANS MALAYSIA SDN BHD,,mynext,9/8/2024,
MULTI DISCOVERY SDN BHD,,mynext,9/8/2024,
RUNNINGMAN INSTANT DELIVERY SDN BHD,,mynext,9/8/2024,
AGENSI PEKERJAAN UNITALENT SDN BHD,,mynext,9/8/2024,
ANALOG DEVICES MALAYSIA,,mynext,9/8/2024,
SHIPPING AND AVIATION COLLEGE,,mynext,9/8/2024,
WESTERNGECO SUPPORT SERVICE SDN BHD,,RP-T,24/12/2014,"Oil, Gas & Energy (OGE)"
PREFCHEM,,RP-T,27/6/2016,"Oil, Gas & Energy (OGE)"
JWB INSIGHT HOUR SDN BHD,,RP-T,9/12/2016,GBS
"UNIVERSITI MALAYSIA SABAH, UMS",,RP-T,13/1/2017,Education
DIALOG ENERGY SDN BHD,,RP-T,21/7/2016,"Oil, Gas & Energy (OGE)"
MAXIS BROADBAND SDN BHD,,RP-T,9/12/2015,Communications Content and Infrastructure (CCI)
FPT SOFTWARE MALAYSIA SDN BHD,,RP-T,29/11/2016,Communications Content and Infrastructure (CCI)
TROVICOR SYSTEMS SDN BHD,,RP-T,25/2/2016,Communications Content and Infrastructure (CCI)
HEMPEL (MALAYSIA) SDN BHD,,RP-T,22/3/2016,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
UNIVERSITY OF MALAYA,,RP-T,10/5/2016,Healthcare
UJI FASHION SDN BHD,,mynext,11/8/2024,
ALLIGENCE TECHNOLOGIES SDN BHD,,mynext,11/8/2024,
"EPHRATAH SOLUTIONS SDN BHD,",,RP-T,15/8/2016,Communications Content and Infrastructure (CCI)
HAP SENG CONSOLIDATED BHD,,RP-T,10/1/2017,
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
K-FRONTIERS SDN BHD,,RP-T,5/9/2016,"Oil, Gas & Energy (OGE)"
PMCC-INTERNATIONAL SDN BHD,,RP-T,21/3/2016,
VELOSI (M) SDN BHD,,RP-T,12/6/2016,"Oil, Gas & Energy (OGE)"
1LYNX 752 SDN BHD,,mynext,12/8/2024,
MING HUAT VEGE TRADING SDN BHD,,mynext,12/8/2024,
HEALTH CONNECT SDN BHD,,mynext,12/8/2024,
CROWE MALAYSIA PLT - JB OFFICE,,mynext,12/8/2024,
PERUBATAN AKUPUNTUR KWANG PHENG,,mynext,12/8/2024,
OPTIMISTIC ORGANIC SDN BHD,,mynext,12/8/2024,
POLITEKNIK SULTAN SALAHUDDIN ABDUL AZIZ SHAH,,mynext,12/8/2024,
KOLEJ SUNWAY KUALA LUMPUR,,mynext,12/8/2024,
INTERNATIONAL ISLAMIC COLLEGE (IIUM SUBSIDIARY),,mynext,12/8/2024,
RENOIR CONSULTING (MALAYSIA) SDN BHD,,RP-T,21/8/2014,GBS
K-FRONTIERS SDN BHD,,RP-T,5/9/2016,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
AECOM PERUNDING SDN BHD,,RP-T,22/11/2016,"Oil, Gas & Energy (OGE)"
HEMPEL (MALAYSIA) SDN BHD,,RP-T,22/3/2016,"Oil, Gas & Energy (OGE)"
K-FRONTIERS SDN BHD,,RP-T,5/9/2016,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,27/3/2016,Financial Services
BRAINWAVE CHANNELS SDN BHD,,mynext,13/8/2024,
POSH & CORE PROPERTY MANAGEMENT,,mynext,13/8/2024,
ABS ENGINEERING & TRADING SDN BHD,,mynext,13/8/2024,
AIMST UNIVERSITY,,RP-T,20/5/2017,Education
AIMST UNIVERSITY,,RP-T,20/5/2017,Education
NOTTINGHAM UNIVERSITY MALAYSIA,,RP-T,26/2/2017,Education
EURO SME SDN BHD,,RP-T,11/5/2017,GBS
ALLIANZ TECHNOLOGY SDN BHD,,RP-T,8/6/2017,GBS
EURO SME SDN BHD,,RP-T,11/5/2017,GBS
EURO SME SDN BHD,,RP-T,11/5/2017,GBS
UNIVERSITI SAINS ISLAM MALAYSIA (USIM),,RP-T,8/3/2017,Education
KDDI MALAYSIA SDN BHD,,RP-T,28/2/2017,Communications Content and Infrastructure (CCI)
COMMERCIAL MARKETERS AND DISTRIBUTORS SDN BHD,,RP-T,25/5/2017,
AIMS ASSET MANAGEMENT SDN BHD,,RP-T,5/4/2017,Financial Services
PETRONAS CARIGALI SDN BHD,,RP-T,23/2/2017,"Oil, Gas & Energy (OGE)"
PREFCHEM,,RP-T,4/4/2017,"Oil, Gas & Energy (OGE)"
"VIRTUOSITY, BENTLEY SYSTEMS, SINGAPORE",,RP-T,4/3/2017,Communications Content and Infrastructure (CCI)
FEM IT TECHNOLOGIES SDN BHD,,RP-T,7/6/2017,"Oil, Gas & Energy (OGE)"
ADVISIAN MALAYSIA SDN BHD (FORMERLY KNOWN AS WORLEYPARSONS SERVICES SDN BHD),,RP-T,27/2/2017,"Oil, Gas & Energy (OGE)"
MCIS INSURANCE BHD,,RP-T,27/2/2017,Financial Services
"UCSI UNIVERSITY, KUALA LUMPUR, MALAYSIA",,RP-T,3/3/2017,Education
COCHLEAR MALAYSIA SDN BHD,,RP-T,6/3/2017,Healthcare
BUMI ARMADA BHD,,RP-T,19/10/2017,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,21/7/2017,Communications Content and Infrastructure (CCI)
PETROLIAM NASIONAL BHD (PETRONAS),,RP-T,24/4/2018,"Oil, Gas & Energy (OGE)"
SANKYU (MALAYSIA) SDN BHD,,RP-T,6/4/2017,GBS
HAVAS WORLDWIDE KUALA LUMPUR SDN BHD,,RP-T,4/4/2017,
HAVAS WORLDWIDE KUALA LUMPUR SDN BHD,,RP-T,4/4/2017,
HICOM ENGINEERING SDN BHD,,RP-T,12/5/2017,
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,10/4/2017,Financial Services
SAPURA SUBSEA SERVICES SDN BHD,,RP-T,5/9/2017,"Oil, Gas & Energy (OGE)"
ACTIVE TELEMATICS SDN BHD,,RP-T,18/5/2017,Communications Content and Infrastructure (CCI)
FOOTBALL ASSOCIATION OF MALAYSIA,,RP-T,3/11/2017,
MICROSOFT (MALAYSIA) SDN BHD,,RP-T,8/11/2017,Communications Content and Infrastructure (CCI)
TAG INNOVATIONS,,RP-T,7/2/2018,Financial Services
INTELLIGENT MONEY SDN BHD,,RP-T,7/11/2017,Communications Content and Infrastructure (CCI)
THE COFFEE BEAN & TEA LEAF (MALAYSIA) SDN BHD,,mynext,14/8/2024,
MILA UNIVERSITY,,mynext,14/8/2024,
UNIVERSITY MALAYA WALES (UMW),,mynext,14/8/2024,
HAP SENG CONSOLIDATED BHD,,RP-T,10/1/2017,
CITIBANK,,WCC,,
QI GROUP,,WCC,,
INTEL,,WCC,,
BP MALAYSIA,,WCC,,
AMBITION GROUP,,WCC,,
DEXCOM,,WCC,,
SHELL MALAYSIA,,WCC,,
VISTA LASER EYE CENTER SDN BHD,,WCC,,
WIPRO UNZA MALAYSIA SDN BHD,,WCC,,
HIREDLY,,WCC,,
FWA TALENTCORP,,WCC,,
DR CHE PPUM,,WCC,,
TRIMEDIC TCM EQUINE PLT,,WCC,,
TRIBE APP PTE LTD,,WCC,,
UTAR,,WCC,,
HIRE SENIORS,,WCC,,
GOGET,,WCC,,
MALAYSIANPAYGAP,,WCC,,
NEXPERIA,,WCC,,
MICRON,,WCC,,
FASTCO MALAYSIA,,WCC,,
DHL INFORMATION SERVICES (ASIA-PACIFIC) SDN BHD,,WCC,,
PLUSVIBES,,WCC,,
EXXON MOBIL,,WCC,,
HRD CORP,,WCC,,
THRIVE WELL,,WCC,,
ENOKU,,WCC,,
PANTANG PLUS,,WCC,,
MIDP,,WCC,,
COGNIZANT,,WCC,,
MONDELEZ,,WCC,,
MANAGEDCARE,,WCC,,
KIDDOCARE,,WCC,,
GILA GOODNESS,,WCC,,
KINTRY,,WCC,,
NIZ CRAFT,,WCC,,
NAK SENI,,WCC,,
WOMEN OF WILL,,WCC,,
PATIK RUBY,,WCC,,
COFFEE ZONE MALAYSIA,,WCC,,
RUPA STORE,,WCC,,
SARALY ACCESSORIES,,WCC,,
DIGNITY AND SERVICES,,WCC,,
DANIELLA VENTURES,,WCC,,
HYDACE VENTURE,,WCC,,
OH.NUHA,,WCC,,
COFFEE FOR GOOD,,WCC,,
BAKE IN LOVE,,WCC,,
WESTPORTS HOLDINGS BHD,,IP,18/7/2024,Transportation
ANCOM CROP CARE SDN BHD,,IP,6/8/2024,"Oil, Gas & Energy (OGE)"
AF MARITIM SDN BHD,,mynext,15/8/2024,
NEXEA GROUP SDN BHD,,mynext,14/8/2024,
PURECIRCLE SDN BHD,,RP-T,17/1/2017,
NEWMAN ASIA SDN BHD,,mynext,16/8/2024,
ASIA MOBILITY TECHNOLOGIES SDN BHD,,mynext,16/8/2024,
APPCLUSTR TECHNOLOGIES SDN BHD,,mynext,17/8/2024,
PREFCHEM,,RP-T,27/6/2016,"Oil, Gas & Energy (OGE)"
WINCO MANUFACTURING SDN BHD,,RP-T,11/6/2014,GBS
GSK,,WCC,25/10/2021,
SELECTA EDUCATION GROUP SDN BHD,,WCC,23/10/2021,
AMAZIN GRAZE,,WCC,16/10/2021,
YC INTERNATIONAL PLATFORM SDN BHD,,WCC,15/10/2021,
ECOWORLD DEVELOPMENT GROUP BHD,,WCC,15/10/2021,
SGS (MALAYSIA) SDN BHD,,WCC,15/10/2021,
SABAH CREATIVE ECONOMY AND INNOVATION CENTRE (SCENIC),,WCC,14/10/2021,
THE MALAYSIAN INSURANCE INSTITUTE,,WCC,14/10/2021,
?ROCHE SERVICES (ASIA PACIFIC) SDN BHD,,WCC,5/10/2021,
PHILIP MORRIS (MALAYSIA) SDN BHD,,WCC,13/10/2021,
POWERPOINT ELECTRICAL SDN BHD,,WCC,13/10/2021,
AGROBANK,,WCC,13/10/2021,
ORION SOCIAL MEDIA SDN BHD,,WCC,12/10/2021,
INVEST IN PENANG BHD,,WCC,12/10/2021,
RSH MALAYSIA,,WCC,11/10/2021,
AXA AFFIN GENERAL INSURANCE BHD,,WCC,11/10/2021,
LEMBAGA TABUNG HAJI,,WCC,11/10/2021,
IBM MALAYSIA,,WCC,11/10/2021,
ASIA PACIFIC UNIVERSITY,,WCC,11/10/2021,
MY WISHES INTEGRATED SERVICES,,WCC,9/10/2021,
BG CAPITAL HOLDINGS SDN BHD,,WCC,8/10/2021,
LOTUSS STORES (MALAYSIA) SDN BHD,,WCC,8/10/2021,
HONG LEONG BANK,,WCC,8/10/2021,
GAMUDA BHD,,WCC,7/10/2021,
EXPERIAN MALAYSIA,,WCC,7/10/2021,
SRKAY CONSULTING GROUP SDN BHD,,WCC,6/10/2021,
RHB BANKING GROUP,,WCC,7/10/2021,
SHELL BUSINESS SERVICE CENTRE SDN BHD,,WCC,7/10/2021,
INFOTECH COMPUTER CENTER,,WCC,6/10/2021,
JARI JARI SDN BHD,,WCC,6/10/2021,
TELEPERFORMANCE MALAYSIA,,WCC,6/10/2021,
AGENSI PEKERJAAN PENTAGON TALENT PLUS SDN BHD,,WCC,6/10/2021,
MBSB BANK,,WCC,5/10/2021,
INTEL MALAYSIA,,WCC,5/10/2021,
PLEXUS CORPORATION,,WCC,5/10/2021,
STANDARD CHARTERED BANK,,WCC,4/10/2021,
EY,,WCC,1/10/2021,
DELL TECHNOLOGIES,,WCC,1/10/2021,
ONE STEP CLOSER,,WCC,1/10/2021,
COLAS RAIL ASIA SDN BHD,,WCC,29/9/2021,
CIMB GROUP,,WCC,30/9/2021,
KPMG,,WCC,30/9/2021,
SWIFT SUPPORT SERVICES MALAYSIA SDN BHD,,WCC,30/9/2021,
GRANT THORNTON MALAYSIA PLT,,WCC,29/9/2021,
BANK ISLAM,,WCC,29/9/2021,
MONDELEZ INTERNATIONAL,,WCC,28/9/2021,
PROCTER AND GAMBLE MALAYSIA,,WCC,27/9/2021,
PWC MALAYSIA,,WCC,27/9/2021,
SCHLUMBERGER,,WCC,24/9/2021,
AGENSI PEKERJAAN PRESTARIANG TALENTXCHANGE SDN BHD,,WCC,23/9/2021,
SHOPEE MOBILE MALAYSIA SDN BHD,,WCC,21/9/2021,
UTOPIA HOLIDAYS SDN BHD,,mynext,19/8/2024,
SOUFFLE PANCAKES SDN BHD,,mynext,19/8/2024,
IMAN MEDIA GROUP SDN BHD,,mynext,19/8/2024,
FANAZ TAX AND CONSULTANT SDN BHD,,mynext,19/8/2024,
BLOXWICH MALAYSIA SDN BHD,,mynext,20/8/2024,
SCANIA CREDIT (MALAYSIA) SDN BHD,,mynext,20/8/2024,
ENOVIX MALAYSIA SDN BHD,,IP,6/8/2024,Manufacturing
MY4IR CONSORTIUM,,IP,9/8/2024,E&E
JABATAN PENDIDIKAN NEGERI PULAU PINANG,,IP,20/8/2024,Government
FIRST SOLAR MALAYSIA SDN BHD,,IP,20/8/2024,E&E
DRB-HICOM BHD,,mynext,21/8/2024,
GINTELL (M) SDN BHD,,mynext,21/8/2024,
SAI GLOBAL TOURS SDN BHD,,mynext,21/8/2024,
DOLPHIN MEDIA SDN BHD,,mynext,21/8/2024,
MYNEXT,,mynext,21/8/2024,
PREFCHEM,,RP-T,27/6/2016,"Oil, Gas & Energy (OGE)"
ACNK CONSULTANCY SDN BHD,,mynext,22/8/2024,
SBM MALAYSIA SDN BHD,,RP-T,15/2/2017,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED BANK MALAYSIA BHD,,RP-T,8/3/2017,Financial Services
CPTD MALAYSIA SDN BHD,,RP-T,3/5/2017,
RECRON (MALAYSIA) SDN BHD,,RP-T,7/2/2017,
NEXUS INTERNATIONAL SCHOOL MALAYSIA (OWNED BY GARDEN INTERNATIONAL SCHOOL SDN BHD),,RP-T,3/4/2017,Education
NOTTINGHAM UNIVERSITY MALAYSIA,,RP-T,26/2/2017,Education
SAPURAACERGY SDN BHD,,RP-T,28/2/2017,"Oil, Gas & Energy (OGE)"
NOV PFT MALAYSIA,,RP-T,8/2/2017,"Oil, Gas & Energy (OGE)"
EXYTE MALAYSIA SDN BHD,,RP-T,10/2/2017,
MISSION CONSULTANCY SERVICES MALAYSIA SDN BHD,,RP-T,2/10/2019,Communications Content and Infrastructure (CCI)
NESTLE PAKISTAN LTD,,RP-T,13/2/2017,
SSQUAD SDN BHD,,RP-T,9/8/2017,Communications Content and Infrastructure (CCI)
BASF ASIA-PACIFIC SERVICE CENTRE SDN BHD,,RP-T,27/3/2017,
INSPIRE LEARNING GROUP MALAYSIA SDN BHD,,RP-T,27/3/2017,
SPACE MATRIX DESIGN CONSULTANTS SDN BHD,,RP-T,19/12/2017,
SPACE MATRIX DESIGN CONSULTANTS SDN BHD,,RP-T,19/12/2017,
CASACITI SDN BHD,,RP-T,2/3/2017,
IFFCO (S.E.A.) SDN BHD,,RP-T,21/4/2017,
BCN SMART TECHNOLOGIES SDN BHD,,RP-T,16/6/2017,Communications Content and Infrastructure (CCI)
ORACLE CORPORATION MALAYSIA SDN BHD,,RP-T,31/3/2017,Communications Content and Infrastructure (CCI)
AEON CREDIT SERVICE (M) BHD,,RP-T,10/4/2017,Financial Services
CARIGALI HESS OPERATING CO SDN BHD,,RP-T,30/3/2017,"Oil, Gas & Energy (OGE)"
DB ENGINEERING,,RP-T,2/5/2017,
SYNTHOMER SDN BHD,,RP-T,8/5/2017,
SIEMENS ENERGY SDN BHD,,RP-T,25/7/2017,"Oil, Gas & Energy (OGE)"
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN BHD,,RP-T,10/4/2017,Financial Services
ACTIVE TELEMATICS SDN BHD,,RP-T,18/5/2017,Communications Content and Infrastructure (CCI)
UNIVERSITY SCIENCE ISLAM MALAYSIA (USIM),,RP-T,22/8/2017,Education
CITIGROUP TRANSACTION SERVICES (M) SDN BHD,,RP-T,26/8/2017,Financial Services
CHIN HOCK AGENCY (M) SDN BHD,,mynext,23/8/2024,
KUANTAN PORT CONSORTIUM SDN BHD,,mynext,16/2/2025,
NOLATO MALAYSIA SDN BHD,,mynext,23/8/2024,
CXL SOLUTIONS SDN BHD,,mynext,23/8/2024,
CXL EXECUTIVE SDN BHD,,mynext,23/8/2024,
TALRESO CONSULTANCY AND ADVISORY,,mynext,26/8/2024,
ASIA RECRUIT MANAGEMENT SDN BHD,,mynext,26/8/2024,
HALAL DEVELOPMENT CORPORATION BHD,,mynext,26/8/2024,
PROSDATA ENGINEERING SDN BHD,,mynext,26/8/2024,
AMADA OPTOMETRIST,,mynext,26/8/2024,
MARA-JAPAN INDUSTRIAL INSTITUTE,,mynext,26/8/2024,
GERMAN-MALAYSIAN INSTITUTE,,mynext,26/8/2024,
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY (TAR UMT),,mynext,26/8/2024,
ASTUTE SOCIAL RESOURCES (D) SDN BHD,,mynext,27/8/2024,
LION PETROLEUM PRODUCTS SDN BHD,,mynext,27/8/2024,
ASIA PACIFIC UNIVERSITY SDN BHD,,mynext,27/8/2024,
CSD ACADEMY SDN BHD,,mynext,29/8/2024,
PREFCHEM,,RP-T,27/6/2016,"Oil, Gas & Energy (OGE)"
IAQ FACILITY SERVICES SDN BHD,,mynext,30/8/2024,
C.S. YAP METALPARTS INDUSTRIES SDN BHD,,mynext,29/8/2024,
AGOS ASIA SDN BHD,,IP,8/8/2024,GBS
AICPA & CIMA,,IP,8/8/2024,GBS
AMBITION GROUP MALAYSIA,,IP,8/8/2024,GBS
AMIT GLOBAL SOLUTIONS SDN BHD,,IP,8/8/2024,GBS
CONTACT CENTRE ASSOCIATION MALAYSIA (CCAM),,IP,8/8/2024,Communications Content and Infrastructure (CCI)
CREDIT GUARANTEE CORPORATION MALAYSIA BHD,,IP,8/8/2024,GBS
DIGIRITY,,IP,8/8/2024,GBS
ELI LILLY ASIA PACIFIC SSC SDN BHD,,IP,8/8/2024,GBS
EXPERIAN,,IP,8/8/2024,GBS
FUJIFILM BUSINESS INNOVATION MALAYSIA SDN BHD,,IP,8/8/2024,GBS
IBM MALAYSIA SDN BHD,,IP,8/8/2024,GBS
IBM MALAYSIA SDN BHD,,IP,8/8/2024,GBS
MANPOWER BUSINESS SOLUTIONS(M) SDN BHD,,IP,8/8/2024,GBS
MDEC,,IP,8/8/2024,GBS
NOVARTIS CORPORATION ( MALAYSIA) SDN BHD,,IP,8/8/2024,GBS
PWC ACCELERATION KUALA LUMPUR,,IP,8/8/2024,GBS
RHB BANK BHD,,IP,8/8/2024,GBS
AGMO HOLDINGS BHD,,IP,8/8/2024,GBS
SLB,,IP,8/8/2024,GBS
SHELL MALAYSIA,,IP,8/8/2024,GBS
SARAWAK ENERGY,,IP,2/8/2024,"Oil, Gas & Energy (OGE)"
S&P GLOBAL,,IP,7/8/2024,GBS
GENTARI,,IP,12/8/2024,"Oil, Gas & Energy (OGE)"
TENAGA NASIONAL BHD,,IP,15/8/2024,"Oil, Gas & Energy (OGE)"
SIRIM BHD,,IP,16/8/2024,"Oil, Gas & Energy (OGE)"
PIKOM,,IP,8/8/2024,GBS
TELECONTINENT SDN BHD,,IP,8/8/2024,GBS
SABAH ENERGY CORPORATION SDN BHD,,IP,27/8/2024,"Oil, Gas & Energy (OGE)"
S-BIOCO,,IP,1/8/2024,STEM (AI)
ADVANCE PACT SDN BHD,,IP,13/8/2024,STEM (AI)
AL ARIF SKYLER BIOTECH SDN BHD,,IP,13/8/2024,STEM (AI)
ALGAE INTERNATIONAL BHD,,IP,13/8/2024,STEM (AI)
BOSTON SCIENTIFIC MEDICAL DEVICE SDN BHD,,IP,13/8/2024,Healthcare
BOUNTY BIOTECH SDN BHD,,IP,13/8/2024,STEM (AI)
CHIMERA-TECH SDN BHD,,IP,13/8/2024,STEM (AI)
CODON GENOMICS SDN BHD,,IP,13/8/2024,STEM (AI)
CRYOCORD SDN BHD,,IP,13/8/2024,STEM (AI)
ECOHIJAU PROSOLUTIONS SDN BHD,,IP,13/8/2024,STEM (AI)
GENEJUNCTION SDN BHD,,IP,13/8/2024,STEM (AI)
GENESIGN BIOTECH ( XIAMEN) CO LTD,,IP,13/8/2024,STEM (AI)
GOODSCIENCE SDN BHD,,IP,13/8/2024,STEM (AI)
GRAND TEN HOLDINGS SDN BHD,,IP,13/8/2024,STEM (AI)
HAINEKWON INDUSTRIES SDN BHD,,IP,13/8/2024,STEM (AI)
HALAGEL M SDN BHD,,IP,13/8/2024,STEM (AI)
INSTITUTE FOR MEDICAL RESEARCH (IMR),,IP,13/8/2024,STEM (AI)
KIJANI ASIA SDN BHD,,IP,13/8/2024,STEM (AI)
MALAYSIAN BIOTECHNOLOGY INFORMATION CENTER,,IP,13/8/2024,STEM (AI)
MALAYSIAN INVESTMENT DEVELOPMENT AUTHORITY (MIDA),,IP,13/8/2024,Government Agency
MEDISPERE ENTERPRISE,,IP,13/8/2024,STEM (AI)
MERC RESOURCES SDN BHD,,IP,13/8/2024,STEM (AI)
MERCK SDN BHD,,IP,13/8/2024,STEM (AI)
NEO NEXON SDN BHD,,IP,13/8/2024,STEM (AI)
NOVOCRAFT TECHNOLOGIES SDN BHD,,IP,13/8/2024,STEM (AI)
OMNI CAPITAL PARTNERS,,IP,13/8/2024,STEM (AI)
PATRIOT BIOTECH SDN BHD,,IP,13/8/2024,STEM (AI)
PERANTIM,,IP,13/8/2024,STEM (AI)
PME POWER ENGINEERING SDN BHD,,IP,13/8/2024,STEM (AI)
